Coil:Heating:DX:SingleSpeed,Gross Rated Heating Capacity,3
Coil:Heating:DX:SingleSpeed,Design Size Gross Rated Heating Capacity,3
Coil:Heating:DX:SingleSpeed,Rated Air Flow Rate,5
Coil:Heating:DX:SingleSpeed,Design Size Rated Air Flow Rate,5
Coil:Heating:DX:SingleSpeed,Resistive Defrost Heater Capacity,23
Coil:Heating:DX:SingleSpeed,Secondary Coil Air Flow Rate,27
Coil:Heating:DX:VariableRefrigerantFlow,Gross Rated Heating Capacity,3
Coil:Heating:DX:VariableRefrigerantFlow,Rated Air Flow Rate,4
Coil:Heating:DX:VariableRefrigerantFlow:FLUIDTEMPERATURECONTROL,Rated Total Heating Capacity,5
Coil:Heating:DX:VariableSpeed,Rated Air Flow Rate At Selected Nominal Speed Level,7
Coil:Heating:DX:VariableSpeed,Rated Heating Capacity At Selected Nominal Speed Level,6
Coil:Heating:DX:VariableSpeed,Resistive Defrost Heater Capacity,18
Coil:Heating:Electric,Nominal Capacity,4
Coil:Heating:Electric,Design Size Nominal Capacity,4
Coil:Heating:Electric:MultiStage,Stage 1 Nominal Capacity,8
Coil:Heating:Electric:MultiStage,Stage 2 Nominal Capacity,10
Coil:Heating:Electric:MultiStage,Stage 3 Nominal Capacity,12
Coil:Heating:Electric:MultiStage,Stage 4 Nominal Capacity,14
Coil:Heating:Fuel,Nominal Capacity,5
Coil:Heating:Fuel,Design Size Nominal Capacity,5
Coil:Heating:Gas:MultiStage,Stage 1 Nominal Capacity,10
Coil:Heating:Gas:MultiStage,Stage 2 Nominal Capacity,13
Coil:Heating:Gas:MultiStage,Stage 3 Nominal Capacity,16
Coil:Heating:Gas:MultiStage,Stage 4 Nominal Capacity,19
Coil:Heating:Steam,Maximum Steam Flow Rate,3
Coil:Heating:Water,U-Factor Times Area Value,3
Coil:Heating:Water,Design Size U-Factor Times Area Value,3
Coil:Heating:Water,Maximum Water Flow Rate,4
Coil:Heating:Water,Design Size Maximum Water Flow Rate,4
Coil:Heating:Water,Rated Capacity,10
Coil:Heating:Water,Design Size Rated Capacity,10
Coil:Heating:WaterToAirHeatPump:EquationFit,Gross Rated Heating Capacity,8
Coil:Heating:WaterToAirHeatPump:EquationFit,Rated Air Flow Rate,6
Coil:Heating:WaterToAirHeatPump:EquationFit,Rated Water Flow Rate,7
Coil:Heating:WaterToAirHeatPump:VariableSpeedEquationFit,Rated Air Flow Rate At Selected Nominal Speed Level,9
Coil:Heating:WaterToAirHeatPump:VariableSpeedEquationFit,Rated Heating Capacity At Selected Nominal Speed Level,8
Coil:Heating:WaterToAirHeatPump:VariableSpeedEquationFit,Rated Water Flow Rate At Selected Nominal Speed Level,10
CoilPerformance:DX:Cooling,Evaporative Condenser Air Flow Rate,19
CoilPerformance:DX:Cooling,Evaporative Condenser Pump Rated Power Consumption,20
CoilPerformance:DX:Cooling,Gross Rated Sensible Heat Ratio,3
CoilPerformance:DX:Cooling,Gross Rated Total Cooling Capacity,2
CoilPerformance:DX:Cooling,Rated Air Flow Rate,5
CondenserLoop,Maximum Loop Flow Rate,8
Controller:OutdoorAir,Minimum Outdoor Air Flow Rate,6
Controller:OutdoorAir,Maximum Outdoor Air Flow Rate,7
Controller:WaterCoil,Controller Convergence Tolerance,7
Controller:WaterCoil,Maximum Actuated Flow,8
CoolingTower:SINGLESPEED,Design Air Flow Rate,5
CoolingTower:SINGLESPEED,Design Approach Temperature,19
CoolingTower:SINGLESPEED,Design Fan Power,6
CoolingTower:SINGLESPEED,Design Range Temperature,20
CoolingTower:SINGLESPEED,Design U-Factor Times Area Value,7
CoolingTower:SINGLESPEED,Design Water Flow Rate,4
CoolingTower:TWOSPEED,Design Approach Temperature,27
CoolingTower:TWOSPEED,Design Range Temperature,28
CoolingTower:TWOSPEED,Design Water Flow Rate,4
CoolingTower:TWOSPEED,High Fan Speed Air Flow Rate,5
CoolingTower:TWOSPEED,High Fan Speed Fan Power,6
